area_sq_km,box_no,midpoint_lat,midpoint_lon
624.440794954945,1,28.74182604237898,-112.91204809938192
3144.76457513576,2,29.020885982098637,-113.26191490098279
303.107032449131,3,28.383577219943064,-112.30903536450636
328.263863788473,4,21.850004634056564,-105.88333334999957
1262.83291197084,5,31.174445303355277,-114.5628753477331
3244.98824528657,6,30.582480921363114,-114.5236349092797
4355.81717387623,7,21.963618973719637,-105.76943495473924
4196.05430409994,8,20.910064114663026,-105.49208907578574
1241.32578011691,9,25.94477215251799,-109.54006560810387
5769.51049534501,10,24.942318933531975,-108.43374464528804
5779.34519594654,11,23.387103000064222,-106.68252936962489
2567.34239538575,12,31.42878483569373,-114.11630620071583
2532.62001763833,13,30.085425409134398,-112.89170453117849
1050.01235283794,14,28.080791777979446,-111.56826868946654
3382.01803906474,15,27.78495164130351,-110.99593756890529
1134.57787531107,16,31.11311495048001,-113.27725077936363
519.527993735404,17,31.568597108683658,-113.87798632543401
488.241462491729,18,26.81340025719719,-111.86277142735659
1648.70918131021,19,24.446808851629317,-110.5386554852072
99.0496380845695,20,31.712122317038357,-114.772112348675
59.7289022779164,21,25.65229000845083,-110.77967163350736
1990.89021671194,22,26.711931772193203,-111.4608413756361
791.038858546391,23,26.2323742309423,-111.19695870246765
3018.03488684807,24,27.39526825299071,-111.95397356683733
902.481747122289,25,27.73335412776857,-112.38485802793794
265.224722467303,26,27.930228262210424,-112.60701299252116
1423.38051340127,27,27.82675602076789,-111.2107163305605
910.695352896903,28,27.329873557354993,-110.70900523234141
290.276075658964,29,24.863776040484026,-110.64506407974392
1910.41543763,30,25.373214914490607,-110.86797042439963
409.340064069429,31,26.63076867463137,-111.5651397078429
377.582588472176,32,27.711251304657956,-112.57805094195498
454.547018254337,33,27.231756513351403,-112.10652764743497
104.654968769974,34,23.56699878834096,-109.46538342409967
22098.2734177272,35,23.791017269510697,-109.64992363708323
602.272282150818,36,23.010521728826056,-109.62681452983465
681.462574000209,37,24.21392916490667,-109.99574074798807
1391.91065116965,38,29.8605738981829,-114.21118653539686
1347.08493143935,39,25.429848621186483,-109.42815475833162
1243.16124416253,40,25.018143041838364,-108.69001331640122
6660.37987325491,41,30.86742651952067,-113.58163163133868
1382.53041642581,42,29.430442605587896,-112.53869010655174
348.549836906124,43,29.17549975350521,-112.23745423085572
626.503976535041,44,27.783052832068705,-110.72698522987059
634.09963924269,45,29.609004038971683,-113.86516792720947
10948.7579879641,46,22.749918745073835,-106.61835946014104
5913.26687571544,47,24.74453186664715,-108.72445126697907
1636.09629628515,48,28.534125525894535,-111.98576851439958
853.267699702643,49,28.211955153912758,-112.74623856809787
77645.9731555304,50,22.894152576493756,-107.9576693397424
4331.27741247672,51,20.93922472430141,-105.94359652263398
6298.09083883363,52,21.515451165453914,-106.46911692406202
301.836840295825,53,29.09657026520336,-112.58116469875658
435.99017840494,54,28.157493737725677,-112.61556984401174
8539.36557735671,55,27.150519827512543,-111.32073433896277
5244.54448768352,56,28.09710716378074,-112.13677406448338
4784.51943520612,57,27.225332083072754,-110.85758958416876
590.819378080683,58,26.360559393407616,-109.61227535197298
6285.916403772,59,30.514541770238722,-113.88972032697255
542.959012207638,60,29.381024629902807,-112.74484448426486
1279.05622255388,61,30.042704685353023,-114.05112007100199
1209.88920753342,62,28.541177983611465,-112.44175191194229
1884.90987180355,63,28.867907816643186,-112.72250557039767
209.429563091568,64,21.62698459668047,-106.58027375601321
246.345339485296,65,24.245092377148513,-109.87858937563617
328.811896676072,66,24.97483262514085,-110.61764262042519
344.50025991436,67,25.96234656302619,-111.15116320978522
1471.75346340608,68,28.97373468168379,-112.37743098433985
1431.27282411251,69,29.296930105394367,-113.36255213257068
190.704951007808,70,31.739225510164594,-114.63860691895121
374.424662919573,71,24.516706271237666,-110.34259444316942
1389.53518816823,72,31.39659718151607,-114.71106740672496
69.6096083922316,73,28.697237606023002,-112.57944052491604
213.654050521944,74,24.492100927046387,-110.35991719902667
3258.1036987752,75,22.342269956487435,-109.79069193912207
40.4799940468144,76,22.8740821187438,-109.86730687830615
