area_sq_km,polygon
5304.049983854504,anp
624.4408939849033,anp
3674.680113470867,anp
136.70971613443564,anp
303.10703244913293,anp
2023.1324878914063,anp
6151.1560684513925,anp
328.26386378847263,anp
1262.8329119708355,vaquita
3645.945989750871,poem
1694.9865237590209,poem
792.6675439367576,poem
4151.291274619673,poem
529.2107654343051,poem
593.0892861470375,poem
2349.5205589370544,poem
1639.4770514536724,poem
347.87285968441387,poem
693.3765155131593,poem
823.7911515056877,poem
2331.614428458645,poem
178.90742584749032,poem
1693.4617652713289,poem
1702.303607767161,poem
1573.1304730901988,poem
1824.1290420135583,poem
2108.001952307499,poem
404.9594995970287,poem
2145.6525210231475,poem
855.0470832306338,poem
394.0324983911672,poem
1672.904024758583,poem
1501.737779355419,poem
138.13046272775267,poem
313.4863333671646,poem
733.1339712717173,poem
114.47758249199866,poem
338.2445131548197,poem
1138.5565190533828,poem
327.3839282337826,poem
552.3704831353883,poem
220.27403594227212,poem
150.3707257749543,poem
362.93937394650266,poem
542.6578439237135,poem
594.3595661769207,poem
761.7937190196357,poem
112.66192082418632,poem
1763.2871835866968,poem
434.9096817380547,poem
690.8286258984798,poem
319.67416932454967,poem
2144.1682054147623,poem
148.30037048656462,poem
1994.498863365196,poem
456.65305637464905,poem
3036.0883036745204,poem
963.1784709592428,poem
264.9427078505077,poem
363.3241711992757,poem
1315.3502048224982,poem
1005.672993081089,poem
546.8932801955976,poem
1846.64085791539,poem
401.5788117692382,poem
258.1024058529854,poem
497.9092823738782,poem
106.50732937717916,poem
329.3487336229,poem
5776.217302246965,poem
725.2371489405298,poem
1350.182719002368,poem
1378.4627631226888,poem
418.66933044229313,poem
1339.912673961646,poem
1148.4683724951876,poem
6742.981034896089,poem
1455.4244130458048,poem
162.6456031040113,poem
389.07009578914546,poem
1522.575891526463,poem
344.58837780174275,poem
426.9961388443601,poem
10183.02377938077,poem
6167.561286869025,poem
1139.0193132483755,poem
2380.604193960019,poem
4437.282187252675,poem
610.1728033307113,poem
125.65324905766296,poem
328.7278343043036,poem
1411.9709988062075,poem
365.1733251899814,poem
78508.37545504478,poem
2140.639915473508,poem
2973.2020793377683,poem
385.78865119278714,poem
472.91231947001455,poem
18434.329759796845,poem
5260.400069745777,poem
10557.23652660076,poem
363.9486064826727,poem
330.7880690459976,poem
527.4395377969909,poem
8605.707846623656,poem
668.7523431799965,poem
7049.502260878272,poem
512.4849684163985,poem
1142.5200588410391,poem
1977.3257343563307,poem
254.543503167675,islands
331.20387915950585,islands
285.72423885054064,islands
459.0860854894056,islands
424.33449747979546,islands
1738.6467323839388,islands
1423.5700223872805,islands
203.8935204208474,islands
